m,Id_over_I0,A1_lin,A1_NL,R1,R1_minus_one,A2_over_A1,A3_over_A1,A4_over_A1,A5_over_A1,phase_diff_rad,relative_L2,residual_rms,residual_max,iterations,converged,Nx,domain_length_um,kg_rad_per_um,kg_over_kD,dx_um,dx_normalized
0.95,0.0,0.3973182774841231,0.6359947482584065,1.6007185782783955,0.6007185782783955,0.46335981869470466,0.22646757924529498,0.1212995002404756,0.06933799467988154,0.0,1.0486205819396694,8.076093542029978e-14,3.9347171354453536e-13,4,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.99,0.0,0.41404746811503357,0.8063210715162226,1.9474121534591893,0.9474121534591893,0.5677838786503983,0.3346847339086324,0.21537624503791508,0.14778327044442782,4.440892098500626e-16,1.7038203419819942,9.553429690217477e-14,3.7911340733387533e-13,5,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.999,0.0,0.4178115360069884,0.9894777653180895,2.3682394573747225,1.3682394573747225,0.6492005589772716,0.4258208183890964,0.30337182504883725,0.23025216376462948,0.0,2.5956261845309103,1.1019505058585935e-13,4.046207813246383e-13,5,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.95,1e-06,0.3973178801662429,0.6359923617248979,1.6007141723870835,0.6007141723870835,0.46335822935803556,0.2264660626068451,0.12129829660995589,0.06933708366043798,0.0,1.048612842650862,8.793105657179966e-14,3.0032226705500875e-13,4,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.99,1e-06,0.4140470540679795,0.806312122118479,1.9473924864252175,0.9473924864252175,0.5677789952134557,0.33467933970536634,0.21537120767239185,0.14777874768899185,-8.881784197001252e-16,1.7037806087714373,8.747408284349426e-14,3.840816553690729e-13,5,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.999,1e-06,0.41781111819587025,0.9894042871077078,2.368065960953854,1.368065960953854,0.6491757947303236,0.42579356291498816,0.3033450760424356,0.23022631899714718,-4.440892098500626e-16,2.595251616596525,9.799232789770893e-14,3.298333828283262e-13,5,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.95,0.0001,0.3972785496291602,0.6357562878054177,1.6002784152299807,0.6002784152299807,0.4632010003783827,0.22631604744700426,0.12117926015152355,0.06924699984150978,4.440892098500626e-16,1.0478474730153053,7.504761022708865e-14,3.0146848559176043e-13,4,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.99,0.0001,0.4140060675082827,0.805429881955515,1.945454294433502,0.945454294433502,0.5672972007213527,0.3341472638058522,0.21487446801419374,0.14733289345289458,0.0,1.699866199226555,9.188849298539514e-14,3.09502423689878e-13,5,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.999,0.0001,0.4177697590310854,0.9824642826934955,2.3516883677078035,1.3516883677078035,0.6468082649669469,0.4231833088977914,0.30078300804596475,0.22775224065363958,4.440892098500626e-16,2.559878165426904,1.0135377718382037e-13,4.0333014705851156e-13,5,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.95,0.01,0.3933844331525972,0.6138752130378253,1.5604969625213865,0.5604969625213865,0.44851924422007944,0.21250158049314793,0.11037423937121725,0.061188618189842,4.440892098500626e-16,0.978565747272403,7.258106862380494e-14,3.2051097886842683e-13,4,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.99,0.01,0.4099479882327065,0.740756501087297,1.8069523996951715,0.8069523996951715,0.5300712138927612,0.2938104345593058,0.17808948483919806,0.1151452301963182,-2.220446049250313e-15,1.4272249876164351,3.2414422164944014e-13,8.011577512512247e-13,4,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.999,0.01,0.4136747881257312,0.7985510023069957,1.9303835409575074,0.9303835409575074,0.5635149850214688,0.32997807433902443,0.21099175244738727,0.1438575064599175,-8.881784197001252e-16,1.6695182236355741,9.791433334814289e-14,4.944933351680447e-13,5,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
