m,Id_over_I0,A1_lin,A1_NL,R1,R1_minus_one,A2_over_A1,A3_over_A1,A4_over_A1,A5_over_A1,phase_diff_rad,relative_L2,residual_rms,residual_max,iterations,converged,Nx,domain_length_um,kg_rad_per_um,kg_over_kD,dx_um,dx_normalized
0.01,0.0,0.0041822976577276134,0.00418240770416806,1.0000263124362379,2.6312436237851955e-05,0.0031320788518830666,1.0510637736002373e-05,3.8810430750686165e-08,1.530844910210165e-10,0.0,0.00313228942021854,7.484441001649551e-16,2.908480747909614e-15,3,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.02,0.0,0.008364595315455223,0.008365475825393164,1.000105266292598,0.00010526629259799414,0.006264639443336453,4.2048959093180385e-05,3.105541050841883e-07,2.4500831092961875e-09,-4.440892098500626e-16,0.0062663242707482235,1.3470440029495454e-15,5.683387788169014e-15,3,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.05,0.0,0.020911488288638057,0.020925261419215677,1.0006586394228623,0.0006586394228622616,0.015670039401868594,0.00026308677814142775,4.860150176266943e-06,9.590949323886e-08,4.440892098500626e-16,0.01569639559848138,3.5068867804320274e-15,1.2203779653496838e-14,3,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.1,0.0,0.041822976577276114,0.041933597576133734,1.0026449814889007,0.0026449814889006884,0.031400667809318134,0.001056382898088337,3.9104031452917884e-05,1.5462584699410497e-06,0.0,0.03161240378826085,6.845495756847663e-15,2.3212334832045656e-14,3,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.2,0.0,0.08364595315455223,0.0845452232665159,1.01075090997292,0.010750909972919942,0.06329559005786105,0.004291685453717962,0.0003201720653912546,2.551501739511288e-05,-4.440892098500626e-16,0.06501878490744462,1.4351135358744535e-14,5.3963777890686515e-14,3,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.4,0.0,0.16729190630910445,0.17499464520767855,1.0460437032999181,0.04604370329991814,0.13088532453083498,0.018339317808824664,0.002826848756849596,0.0004654393525755471,-4.440892098500626e-16,0.14574587079808957,2.9074979404944835e-14,1.5275281040061373e-13,4,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.6,0.0,0.25093785946365676,0.280626516294597,1.1183107917410129,0.11831079174101289,0.20943654423944433,0.046891642989289786,0.01154528372368036,0.003036128270874284,0.0,0.26792395662874763,4.7247769504648424e-14,1.5133727604421665e-13,4,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.8,0.0,0.3345838126182089,0.4252827930586116,1.271080001541792,0.271080001541792,0.31562382536003303,0.1061325997227563,0.039210834101363196,0.01546975449272513,-4.440892098500626e-16,0.5055512505994211,6.078269874364922e-14,2.5990147534127317e-13,4,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.9,0.0,0.3764067891954851,0.5407499727662048,1.4366105720940354,0.4366105720940354,0.39812347240130086,0.16810843241511642,0.07789924254870634,0.03853721011001591,4.440892098500626e-16,0.7699468592225912,7.238476928011203e-14,3.683234273132996e-13,4,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.95,0.0,0.3973182774841231,0.6359947482584065,1.6007185782783955,0.6007185782783955,0.46335981869470466,0.22646757924529498,0.1212995002404756,0.06933799467988154,0.0,1.0486205819396694,8.076093542029978e-14,3.9347171354453536e-13,4,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.98,0.0,0.40986517045730586,0.7397385274843887,1.8048338351341922,0.8048338351341922,0.5294575430029413,0.2931599666468973,0.17751158533031763,0.11465364059202639,4.440892098500626e-16,1.4231673155320255,3.11038821319559e-13,8.08089706261228e-13,4,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.99,0.0,0.41404746811503357,0.8063210715162226,1.9474121534591893,0.9474121534591893,0.5677838786503983,0.3346847339086324,0.21537624503791508,0.14778327044442782,4.440892098500626e-16,1.7038203419819942,9.553429690217477e-14,3.7911340733387533e-13,5,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.995,0.0,0.4161386169438974,0.865921993376869,2.0808498853967454,1.0808498853967454,0.5984848560053019,0.36895826881328486,0.247898418810913,0.17753110252690615,-1.3322676295501878e-15,1.9790716570405031,1.0229896164963889e-13,4.125033647994769e-13,5,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
0.999,0.0,0.4178115360069884,0.9894777653180895,2.3682394573747225,1.3682394573747225,0.6492005589772716,0.4258208183890964,0.30337182504883725,0.23025216376462948,0.0,2.5956261845309103,1.1019505058585935e-13,4.046207813246383e-13,5,True,512,2.2,2.855993321445266,0.5403604701164361,0.004296875,0.02271048120977615
