N,carrier_gain_difference,carrier_power_balance_error,carrier_separation_quality,converged,dx_um,fixture,geometry,harmonic_1_magnitude,harmonic_1_phase_rad,harmonic_1_relative_to_K,harmonic_1_resolution,harmonic_2_magnitude,harmonic_2_phase_rad,harmonic_2_relative_to_K,harmonic_2_resolution,harmonic_3_magnitude,harmonic_3_phase_rad,harmonic_3_relative_to_K,harmonic_3_resolution,launch_attenuation,linear_response_rms,m,material_abs_L2_vs_linearized,material_max_abs_vs_linearized,material_rel_L2_vs_linearized,material_rel_L2_vs_reduced_linearized,model,optical_rel_L2_vs_linearized,output_intensity_rel_L2_vs_linearized,periodic_fundamental_bin_offsets,periodic_fundamental_commensurate,periodic_fundamental_mode_components,points_per_2K,points_per_3K,points_per_K,power_drift,pump_delta_power_normalized,pump_gain,pump_power_input_normalized,pump_power_output_normalized,reference_intensity,resolution_2K,resolution_3K,resolution_K,runtime_s,signal_delta_power_normalized,signal_gain,signal_power_input_normalized,signal_power_output_normalized,study,total_power_mW
256,,,,True,0.78125,broad_beam,x,0.03862203478667821,1.5707963267948966,1.0,marginal,,,,underresolved,,,,underresolved,none,0.050908482171808565,0.5,0.017986050646272518,0.03292721030886066,0.35330164795666835,,reduced_nonlinear,,,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,,,,,,1.01,underresolved,underresolved,marginal,0.013743999996222556,,,,,frozen_intensity_material,2.0
256,,,,True,0.78125,broad_beam,x,0.0359977329636003,1.5707963267948966,1.0,marginal,,,,underresolved,,,,underresolved,none,0.050908482171808565,0.5,0.017986050646272518,0.03292721030886066,0.35330164795666835,,reduced_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,,,,,,1.01,underresolved,underresolved,marginal,0.0018477919802535325,,,,,frozen_intensity_material,2.0
256,,,,True,0.78125,broad_beam,x,0.11922882229878365,1.5707963267948966,1.0,marginal,,,,underresolved,,,,underresolved,none,0.050908482171808565,0.5,0.017986050646272518,0.03292721030886066,0.35330164795666835,2.3121203054465345,full_transverse_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,,,,,,1.01,underresolved,underresolved,marginal,0.0044159160170238465,,,,,frozen_intensity_material,2.0
256,,,,True,0.78125,broad_beam,x,0.01829363533047368,1.5707963267948966,1.0,marginal,,,,underresolved,,,,underresolved,none,0.025454241085904283,0.25,0.003861666838041115,0.006297953169385417,0.15171015411571362,,reduced_nonlinear,,,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,,,,,,1.01,underresolved,underresolved,marginal,0.013269666000269353,,,,,frozen_intensity_material,2.0
256,,,,True,0.78125,broad_beam,x,0.01799886648180015,1.5707963267948966,1.0,marginal,,,,underresolved,,,,underresolved,none,0.025454241085904283,0.25,0.003861666838041115,0.006297953169385417,0.15171015411571362,,reduced_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,,,,,,1.01,underresolved,underresolved,marginal,0.0016226669831667095,,,,,frozen_intensity_material,2.0
256,,,,True,0.78125,broad_beam,x,0.059614411149391824,1.5707963267948966,1.0,marginal,,,,underresolved,,,,underresolved,none,0.025454241085904283,0.25,0.003861666838041115,0.006297953169385417,0.15171015411571362,2.312120305446535,full_transverse_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,,,,,,1.01,underresolved,underresolved,marginal,0.004108124994672835,,,,,frozen_intensity_material,2.0
256,,,,True,0.78125,broad_beam,x,0.009035398158721,1.5707963267948966,1.0,marginal,,,,underresolved,,,,underresolved,none,0.012727120542952138,0.125,0.0009323003160557258,0.0014243576017818546,0.07325304360160212,,reduced_nonlinear,,,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,,,,,,1.01,underresolved,underresolved,marginal,0.009374458983074874,,,,,frozen_intensity_material,2.0
256,,,,True,0.78125,broad_beam,x,0.008999433240900072,1.5707963267948966,1.0,marginal,,,,underresolved,,,,underresolved,none,0.012727120542952138,0.125,0.0009323003160557258,0.0014243576017818546,0.07325304360160212,,reduced_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,,,,,,1.01,underresolved,underresolved,marginal,0.0018313330074306577,,,,,frozen_intensity_material,2.0
256,,,,True,0.78125,broad_beam,x,0.029807205574695905,1.5707963267948966,1.0,marginal,,,,underresolved,,,,underresolved,none,0.012727120542952138,0.125,0.0009323003160557258,0.0014243576017818546,0.07325304360160212,2.3121203054465345,full_transverse_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,,,,,,1.01,underresolved,underresolved,marginal,0.004052167001646012,,,,,frozen_intensity_material,2.0
256,,,,True,0.78125,broad_beam,x,0.004504185715639494,1.5707963267948966,1.0,marginal,,,,underresolved,,,,underresolved,none,0.006363560271476073,0.0625,0.00023108778511598263,0.0003402629059433993,0.03631422902550408,,reduced_nonlinear,,,"[0.0, 0.0]",True,"[100.0, 0.0]",1.28,0.8533333333333334,2.56,,,,,,1.01,underresolved,underresolved,marginal,0.0101180000056047,,,,,frozen_intensity_material,2.0
