kg_rad_per_um,kg_over_kD,domain_length_um,grid_size,dx_um,dx_normalized,m,A1_linearized,A1_nonlinear,R_K,R_K_minus_one,A2_over_A1_nonlinear,A3_over_A1_nonlinear,A4_over_A1_nonlinear,A5_over_A1_nonlinear,delta_phase_rad,relative_L2_error,residual_rms_tolerance,residual_max_tolerance,nonlinear_iterations,nonlinear_residual_rms,nonlinear_residual_max
0.25,0.05837175145702132,25.132741228718345,512,0.04908738521234052,0.2102360473476763,0.01,0.000581720813564404,0.0005817353576434031,1.0000250018198764,2.5001819876413478e-05,0.0049497622305146715,2.434178664385735e-05,1.1897855828441105e-07,5.782973267688955e-10,0.0,0.004950008980576528,1e-12,1e-11,2,4.0841186215448286e-18,8.875634737804186e-18
0.25,0.05837175145702132,25.132741228718345,512,0.04908738521234052,0.2102360473476763,0.02,0.0011634416271288075,0.0011635579972190556,1.000100022285205,0.00010002228520500367,0.009900267125339823,9.73817562691113e-05,9.520427112524991e-07,9.255480264659966e-09,0.0,0.00990224156582152,1e-12,1e-11,2,6.281856684090813e-17,9.916849988216535e-17
0.25,0.05837175145702132,25.132741228718345,512,0.04908738521234052,0.2102360473476763,0.05,0.0029086040678220192,0.0029104242628482865,1.0006257967684238,0.0006257967684237808,0.024763680061279887,0.0006092761113213935,1.4899142023576858e-05,3.6230308689921487e-07,0.0,0.024794578913466758,1e-12,1e-11,2,2.467085112776887e-15,3.764635392972896e-15
0.25,0.05837175145702132,25.132741228718345,512,0.04908738521234052,0.2102360473476763,0.1,0.005817208135644037,0.005831824665127029,1.0025126364988441,0.002512636498844145,0.0496207538903774,0.0024463044981599814,0.00011986870844522265,5.840698809367929e-06,0.0,0.04986933345576705,1e-12,1e-11,2,4.0365203442112464e-14,6.606826156584263e-14
0.25,0.05837175145702132,25.132741228718345,512,0.04908738521234052,0.2102360473476763,0.2,0.011634416271288073,0.01175314998453817,1.0102053863710476,0.01020538637104762,0.10000305134138075,0.009935972158901058,0.000981195822549781,9.63528861251479e-05,0.0,0.10203755605177584,1e-12,1e-11,2,7.065120698817129e-13,1.31077015357744e-12
0.25,0.05837175145702132,25.132741228718345,512,0.04908738521234052,0.2102360473476763,0.4,0.023268832542576147,0.024282468063319768,1.0435619414463069,0.04356194144630687,0.2066103831906154,0.04241197104321214,0.008653129586868482,0.0017555843743466831,0.0,0.22456530682833298,1e-12,1e-11,3,4.094748672041311e-17,1.5115811163521342e-16
0.25,0.05837175145702132,25.132741228718345,512,0.04908738521234052,0.2102360473476763,0.6,0.034903248813864224,0.03878152560548376,1.1111150658869042,0.11111506588690423,0.3299780481845439,0.10818200222660072,0.03525121122349857,0.01142239851224951,0.0,0.4036541047635716,1e-12,1e-11,3,7.371628156896763e-17,2.663410399346422e-16
0.25,0.05837175145702132,25.132741228718345,512,0.04908738521234052,0.2102360473476763,0.8,0.046537665085152294,0.05817283668560151,1.2500162304911466,0.25001623049114663,0.4949747179459165,0.24341830060615804,0.11898011018786063,0.05783106195167106,0.0,0.7528948271710104,1e-12,1e-11,3,9.016874561018909e-17,3.019774100915251e-16
0.25,0.05837175145702132,25.132741228718345,512,0.04908738521234052,0.2102360473476763,0.95,0.05526347728861834,0.08423489026960312,1.5242415859877771,0.5242415859877771,0.7167502865215039,0.5104271580727201,0.36129253233394015,0.2543055018404005,0.0,1.6339759771456486,1e-12,1e-11,3,1.1653462978141322e-14,5.249284080327543e-14
0.5,0.11674350291404265,12.566370614359172,512,0.02454369260617026,0.10511802367383816,0.01,0.001151709226658629,0.0011517380307688248,1.0000250098805576,2.500988055764708e-05,0.004807133958434776,2.25968991935973e-05,1.0437347688160973e-07,4.762366022461619e-10,0.0,0.0048073723532407525,1e-12,1e-11,2,4.452034841300116e-16,6.592982588907517e-16
0.5,0.11674350291404265,12.566370614359172,512,0.02454369260617026,0.10511802367383816,0.02,0.002303418453317257,0.0023036489207946195,1.0001000545415577,0.00010005454155770366,0.009614989594019963,9.040116792196888e-05,8.351758870480705e-07,7.622031336050606e-09,0.0,0.00961689716715868,1e-12,1e-11,2,7.126514026296547e-15,1.035193354377139e-14
0.5,0.11674350291404265,12.566370614359172,512,0.02454369260617026,0.10511802367383816,0.05,0.005758546133293144,0.0057621509772327155,1.0006259989685122,0.0006259989685122314,0.024050118529640035,0.0005656019302797435,1.3070230161879901e-05,2.9836261654608076e-07,0.0,0.024079969806057852,1e-12,1e-11,2,2.798193713828167e-13,4.2262242696319147e-13
